fighter_id,name,nickname,height,reach,weight,stance,dob,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,fighter_link
22,Mohamed Ado,,71.0,76.0,170.0,Switch,2000-05-03,1.66,0.8300000000000001,0.33,0.75,4.97,0.5,0.5,5.0,http://ufcstats.com/fighter-details/7a846fcbf182a7c8
23,Nick Agallar,,68.0,,155.0,Orthodox,1979-01-13,0.69,0.11,4.56,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
24,Mariya Agapova,Money Mashka,66.0,68.0,125.0,Southpaw,1997-04-07,4.43,0.54,3.62,0.52,0.55,0.66,0.45,0.8,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
25,Kantharaj Agasa,Kannadiga,,,135.0,,1992-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/26f4288e83188c61
26,Marcelo Aguiar,,70.0,,170.0,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/44aa652b181bcf68
27,Fabio Aguiar,,72.0,,185.0,,1988-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/501821d7fb7b95c1
28,Edwin Aguilar,Tigre,70.0,,185.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
29,Jessica Aguilar,Jag,63.0,63.0,115.0,Orthodox,1982-05-08,4.93,0.5,7.19,0.53,0.94,0.25,0.5,0.2,http://ufcstats.com/fighter-details/8f382b3baa954d2a
30,Kevin Aguilar,Angel of Death,67.0,73.0,155.0,Orthodox,1988-09-07,3.96,0.4,4.81,0.52,0.16,0.16,0.78,0.0,http://ufcstats.com/fighter-details/cf946e03ba2e7666
31,Jesus Aguilar,,64.0,62.0,125.0,Orthodox,1996-03-13,1.73,0.45,1.1,0.59,1.83,0.35,0.4,1.8,http://ufcstats.com/fighter-details/c051c2e12d692b8a
32,Christian Aguilera,The Beast,69.0,72.0,170.0,Switch,1991-11-25,2.54,0.37,4.04,0.48,0.0,0.0,0.6,0.0,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
33,Nick Aguirre,Slick,69.0,74.0,135.0,Southpaw,1996-01-15,0.73,0.33,2.89,0.45,1.16,0.2,0.33,0.6,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
34,Agulali,,,,125.0,,2005-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b2efa582adf73604
35,Ahejiang Ailinuer,,,,145.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ff584c17bccbae0b
36,Mike Aina,Iron,69.0,,155.0,Orthodox,,2.87,0.33,6.33,0.59,0.0,0.0,0.71,0.0,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
37,Ashiek Ajim,Peak Physique,68.0,71.0,135.0,Switch,1994-06-19,5.0,0.4,11.25,0.25,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/49dea784f6cfed71
38,Hitomi Akano,Girlfight Monster,64.0,,135.0,Southpaw,1974-07-27,0.59,0.45,2.58,0.55,0.0,0.0,0.08,0.5,http://ufcstats.com/fighter-details/2eada40ac8801559
39,Omari Akhmedov,Wolverine,72.0,73.0,185.0,Orthodox,1987-10-12,2.97,0.34,2.84,0.55,2.58,0.45,0.65,0.2,http://ufcstats.com/fighter-details/16690d100f995f8f
40,Yoshihiro Akiyama,,70.0,75.0,170.0,Orthodox,1975-07-29,3.1,0.41,3.62,0.5700000000000001,2.29,0.67,0.92,1.0,http://ufcstats.com/fighter-details/b0550072e5f0afa7
41,Rostem Akman,,70.0,72.0,170.0,Switch,1991-12-19,1.8,0.25,3.97,0.5700000000000001,1.0,0.4,0.87,0.0,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
42,Razak Al-Hassan,,74.0,,205.0,Orthodox,1982-05-14,3.27,0.39,3.14,0.6,0.65,0.14,0.5700000000000001,0.0,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
43,Abdul-Kareem Al-Selwady,Pride of Palestine,68.0,69.0,155.0,Orthodox,1995-04-10,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,http://ufcstats.com/fighter-details/597499ac7a5aac62
44,Mostapha Al-Turk,,74.0,77.0,245.0,Orthodox,1973-07-14,1.36,0.19,3.61,0.53,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1cf1310684a841f5
45,Herdem Alacabek,,74.0,75.0,205.0,Orthodox,1991-06-07,3.84,0.65,6.66,0.23,2.06,0.5,0.42,0.0,http://ufcstats.com/fighter-details/7578cc6bd750206b
46,Javi Alanis,,66.0,,135.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2144954270be834d
47,Alatengheili,The Mongolian Knight,65.0,66.0,135.0,Orthodox,1991-12-14,2.82,0.32,5.12,0.5700000000000001,1.74,0.43,0.75,0.0,http://ufcstats.com/fighter-details/1897b7b913736a7c
48,Amir Albazi,The Prince,65.0,68.0,125.0,Orthodox,1993-10-27,2.72,0.34,3.71,0.61,1.39,0.32,0.5,0.5,http://ufcstats.com/fighter-details/6d35bf94f7d30241
49,Brett Albee,,,,225.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9b28292abe3166d5
50,John Albert,Prince,68.0,68.0,135.0,Orthodox,1986-10-13,3.05,0.49,2.82,0.35,0.0,0.0,0.5,6.1,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
51,Junior Albini,Baby,75.0,74.0,264.0,Orthodox,1991-03-15,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,http://ufcstats.com/fighter-details/c482c8605455a213
52,Wes Albritton,,70.0,,188.0,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/184b955181bdef52
53,Aleksandra Albu,Stitch,62.0,63.0,115.0,Orthodox,1990-07-14,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
54,Israel Albuquerque,,,,185.0,Orthodox,,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/dd1b90eea08887f6
55,Juan Alcain,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/39f62b833e4cf126
56,Iuri Alcantara,Marajo,69.0,71.0,135.0,Southpaw,1980-08-04,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
57,Ildemar Alcantara,Marajo,74.0,78.0,185.0,Orthodox,1982-11-18,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,http://ufcstats.com/fighter-details/7c6e87729e824ef4
58,Alfonso Alcarez,,63.0,,145.0,,1970-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1e38bba6738b7b10
59,Gilbert Aldana,El Peligro,73.0,,250.0,Orthodox,1977-08-25,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,http://ufcstats.com/fighter-details/d26934530dc5b248
60,Irene Aldana,,69.0,68.0,135.0,Orthodox,1988-03-26,5.19,0.39,6.64,0.56,0.15,0.5,0.77,0.2,http://ufcstats.com/fighter-details/578ef12674df1e6a
61,Hector Aldana,,71.0,72.0,170.0,Orthodox,1988-08-17,3.59,0.38,5.08,0.59,0.93,1.0,0.0,0.0,http://ufcstats.com/fighter-details/c487223b0289bda9
62,Jose Alday,Pochito,67.0,68.0,135.0,Orthodox,1991-09-14,3.13,0.44,3.13,0.58,0.0,0.0,0.5700000000000001,0.0,http://ufcstats.com/fighter-details/7460ddef986d3144
63,Jose Aldo,,67.0,70.0,135.0,Orthodox,1986-09-09,3.62,0.46,3.72,0.6,0.49,0.53,0.92,0.1,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
64,JJ Aldrich,,65.0,67.0,125.0,Southpaw,1992-09-29,3.96,0.47,4.32,0.61,0.75,0.26,0.67,0.0,http://ufcstats.com/fighter-details/6fd953151d981979
65,Irina Alekseeva,Russian Ronda,68.0,67.0,135.0,Orthodox,1990-06-27,3.84,0.43,3.55,0.48,0.87,0.2,1.0,0.9,http://ufcstats.com/fighter-details/103e2e33a60683e1
66,Talita Alencar,Problem Child,61.0,58.0,115.0,Orthodox,1990-10-17,2.62,0.33,3.77,0.53,2.5,0.2,0.5,0.2,http://ufcstats.com/fighter-details/d35298b6df168456
67,Jim Alers,The Beast,69.0,71.0,145.0,Orthodox,1986-10-14,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,http://ufcstats.com/fighter-details/fe5a9547479396ab
68,John Alessio,The Natural,70.0,72.0,155.0,Orthodox,1979-07-05,2.1,0.39,2.91,0.54,1.85,0.38,0.7000000000000001,1.2,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
69,Houston Alexander,The Assassin,72.0,72.0,205.0,Orthodox,1972-03-22,3.06,0.54,3.2,0.52,1.19,0.5700000000000001,0.33,0.0,http://ufcstats.com/fighter-details/0541480fbf719d86
70,Kenneth Alexander,The Machine,69.0,,155.0,Orthodox,1977-09-25,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
71,Lucas Alexander,The Lion,71.0,73.0,145.0,Orthodox,1995-07-28,4.69,0.5700000000000001,2.87,0.56,0.0,0.0,0.6,0.0,http://ufcstats.com/fighter-details/11583163f45c7b31
72,Marcio Alexandre Junior,Lyoto,72.0,75.0,185.0,Southpaw,1989-05-05,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,http://ufcstats.com/fighter-details/d53482bef23235ba
73,Olaf Alfonso,,74.0,,170.0,Orthodox,1974-08-06,1.65,0.38,4.77,0.53,0.37,0.07,0.22,0.7,http://ufcstats.com/fighter-details/b757c73f443d4fca
74,Pablo Alfonso,The Hurricane,68.0,,145.0,,1983-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
75,Levi Alford,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/41b34b7f11f6d085
76,Bill Algeo,Senor Perfecto,72.0,73.0,145.0,Switch,1989-06-09,5.88,0.51,4.38,0.47,1.03,0.5,0.55,0.1,http://ufcstats.com/fighter-details/9abc648e76c4493a
77,Royce Alger,,70.0,,199.0,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/669a3cb6e394f515
78,Amir Aliakbari,,75.0,,250.0,,1984-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e17770faae3ca54c
79,Sultan Aliev,,71.0,74.0,170.0,Orthodox,1984-09-17,1.41,0.45,2.2,0.56,1.76,0.38,1.0,0.0,http://ufcstats.com/fighter-details/e70de1859b7ee78e
80,Nurullo Aliev,Tajik Eagle,70.0,72.0,155.0,Orthodox,2000-12-08,2.43,0.45,1.07,0.58,2.6,0.54,0.0,0.0,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
81,Ikram Aliskerov,,72.0,76.0,185.0,Southpaw,1992-12-07,7.76,0.62,5.78,0.41,1.14,0.33,1.0,1.1,http://ufcstats.com/fighter-details/b07aed698fba8624
82,Leon Aliu,The Albanian Lion,72.0,74.0,185.0,Orthodox,1989-07-14,6.32,0.5,10.11,0.38,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6db394bf6c3b017c
83,John Allan,,73.0,75.0,205.0,Orthodox,1993-02-22,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8,http://ufcstats.com/fighter-details/6ebe96a116e79e52
84,George Allen,,74.0,,205.0,Open Stance,1967-01-13,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/1e13936d708bcff7
85,Arnold Allen,Almighty,68.0,70.0,145.0,Southpaw,1994-01-22,3.45,0.41,2.88,0.61,0.93,0.47,0.75,0.3,http://ufcstats.com/fighter-details/040a74bb0a465c54
86,Brendan Allen,All In,74.0,75.0,185.0,Orthodox,1995-12-28,3.55,0.53,3.67,0.45,1.53,0.38,0.56,1.3,http://ufcstats.com/fighter-details/2f181c0467965b98
87,Daniel Allen,,72.0,75.0,155.0,Southpaw,1992-08-10,7.6,0.51,5.87,0.53,2.0,0.66,1.0,0.0,http://ufcstats.com/fighter-details/adf9a901308fb8e3
88,Ben Alloway,Blanco,71.0,76.0,170.0,Orthodox,1981-02-19,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
89,Asu Almabayev,Zulfikar,64.0,65.0,125.0,Orthodox,1994-01-25,2.32,0.54,1.76,0.53,4.13,0.42,0.66,1.4,http://ufcstats.com/fighter-details/8d3273573b85be09
90,Bekzat Almakhan,The Turan Warrior,67.0,68.0,135.0,Orthodox,1997-10-08,0.2,0.18,4.53,0.3,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
91,John Dave Almanza,The Striker,67.0,67.0,125.0,Southpaw,2004-03-22,1.92,0.41,5.75,0.27,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/088aa1b19b2dc14a
92,Ricardo Almeida,Big Dog,72.0,74.0,170.0,Orthodox,1976-11-29,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,http://ufcstats.com/fighter-details/91186547a7f3f758
93,Magno Almeida,,72.0,,155.0,,1985-06-06,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0,http://ufcstats.com/fighter-details/d615d6a10a4704cd
94,Thomas Almeida,Thominhas,67.0,70.0,145.0,Southpaw,1991-07-31,4.84,0.43,4.93,0.61,0.17,0.14,0.75,0.0,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
95,Ericka Almeida,,66.0,,115.0,Orthodox,1989-03-05,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,http://ufcstats.com/fighter-details/67a992d4cff22466
96,Estefani Almeida,,64.0,,125.0,Orthodox,1988-10-17,3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/f16ddfa31236efed
97,Jailton Almeida,Malhadinho,75.0,79.0,205.0,Orthodox,1991-06-26,2.62,0.65,0.89,0.41,6.58,0.6,0.6,2.4,http://ufcstats.com/fighter-details/41e83a89929d1327
98,Lucas Almeida,,71.0,71.0,145.0,Orthodox,1991-01-31,4.94,0.39,5.04,0.44,0.0,0.0,0.53,0.0,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
99,Cesar Almeida,Cesinha,73.0,74.0,185.0,Orthodox,1988-03-28,4.16,0.58,2.32,0.48,0.0,0.0,0.6,0.3,http://ufcstats.com/fighter-details/64d47ef881a437a4
100,Mauricio Alonso,,74.0,,170.0,,1980-02-27,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c6bf75775b278ed8
101,Sarah Alpar,Too Sweet,64.0,63.0,135.0,Southpaw,1991-06-01,2.36,0.44,6.06,0.38,1.61,0.26,0.2,0.4,http://ufcstats.com/fighter-details/49b130de1da2e1bf
102,Ali AlQaisi,The Royal Fighter,66.0,68.0,135.0,Orthodox,1990-09-23,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,http://ufcstats.com/fighter-details/e87a13e02c01331d
103,Rico Altamirano,,70.0,,170.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
104,Victor Altamirano,El Magnifico,68.0,70.0,125.0,Switch,1991-01-23,4.58,0.53,3.82,0.53,2.88,0.38,0.63,0.0,http://ufcstats.com/fighter-details/dc7927cd622676a7
105,Mike Altman,,70.0,,185.0,Orthodox,,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c11036da9162cb5f
106,Patricia Alujas,The Angel,64.0,64.0,115.0,Orthodox,1996-05-08,5.83,0.31,9.25,0.44,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/430c533614d45813
107,Sean Alvarez,,72.0,,235.0,Orthodox,1971-07-14,0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/e741536153227386
108,Eddie Alvarez,,69.0,69.0,155.0,Orthodox,1984-01-11,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,http://ufcstats.com/fighter-details/33a331684283900f
109,Jaime Alvarez,,68.0,69.0,125.0,Orthodox,1988-03-08,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,http://ufcstats.com/fighter-details/4438482bd1d5a029
110,Joel Alvarez,El Fenomeno,75.0,77.0,155.0,Orthodox,1993-03-02,4.51,0.53,3.32,0.5,0.0,0.0,0.4,1.2,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
111,Thiago Alves,Pitbull,69.0,70.0,170.0,Orthodox,1983-10-03,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
112,Anthony Alves,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
113,Amilcar Alves,,72.0,,170.0,Southpaw,1988-08-08,0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
114,Warlley Alves,,71.0,72.0,185.0,Orthodox,1991-01-04,3.04,0.48,3.95,0.5,1.22,0.5,0.62,0.8,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
115,Rafael Alves,The Turn,68.0,68.0,155.0,Orthodox,1990-11-14,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,http://ufcstats.com/fighter-details/029afd138865d20a
116,Sam Alvey,Smile'N,74.0,75.0,185.0,Southpaw,1986-05-06,3.28,0.44,3.63,0.52,0.06,0.14,0.8200000000000001,0.1,http://ufcstats.com/fighter-details/d156513a19acf856
117,Andre Amado,Dida,72.0,,154.0,Orthodox,,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0,http://ufcstats.com/fighter-details/20821819c401ced8
118,Adlan Amagov,Borz,74.0,76.0,170.0,Orthodox,1986-10-30,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,http://ufcstats.com/fighter-details/1e327b281ef6a745
119,Maiara Amanajas dos Santos,,65.0,,115.0,Southpaw,1987-07-11,5.53,0.35,24.47,0.33,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/247fbbfafea60bb1
120,Chris Amarante,,,,185.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ee0b69e307c857e5
121,Jimmy Ambriz,The Titan,74.0,,315.0,Southpaw,1970-01-26,0.83,0.29,3.76,0.4,3.13,0.5700000000000001,1.0,0.8,http://ufcstats.com/fighter-details/c912f676692c353a
122,JJ Ambrose,,70.0,,170.0,Orthodox,,3.16,0.6900000000000001,6.32,0.33,0.0,0.0,0.5,0.0,http://ufcstats.com/fighter-details/d562b12b8fe88336
123,Alen Amedovski,,70.0,74.0,185.0,Orthodox,1988-04-06,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
124,Hyder Amil,The Hurricane,69.0,70.0,145.0,Switch,1990-05-28,6.84,0.5700000000000001,4.0,0.52,0.78,0.22,0.8,1.2,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
125,Hamid Amiri,The Storm,,,145.0,,2003-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
126,Makwan Amirkhani,Mr. Finland,70.0,72.0,145.0,Southpaw,1988-11-08,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
127,Jaqueline Amorim,,63.0,68.0,115.0,Orthodox,1995-06-24,2.68,0.53,1.43,0.64,2.22,0.37,0.0,4.8,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
128,Bertrand Amoussou,,68.0,,190.0,Orthodox,,6.75,0.39,2.01,0.8300000000000001,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/53adf5b845d91e4a
129,Karl Amoussou,The Psycho,71.0,,185.0,Orthodox,1985-11-21,1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0,http://ufcstats.com/fighter-details/23a8c33869bf5392
130,Eryk Anders,Ya Boi,73.0,75.0,185.0,Southpaw,1987-04-21,3.54,0.48,4.05,0.5,1.71,0.24,0.8,0.1,http://ufcstats.com/fighter-details/cad24459b28592ca
131,Matt Andersen,,74.0,,230.0,Southpaw,1971-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/8738eacd62e82a32
132,Andy Anderson,The Hammer,66.0,,240.0,,1974-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9199e0735b83dd32
133,Lowell Anderson,,66.0,,160.0,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1ffc38f67785797b
134,Corey Anderson,Overtime,75.0,79.0,205.0,Orthodox,1989-09-22,4.43,0.46,2.22,0.59,4.89,0.5,0.8300000000000001,0.0,http://ufcstats.com/fighter-details/5e4eec08896c9423
135,Derek Anderson,Barbaric,72.0,,155.0,,1990-02-02,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0,http://ufcstats.com/fighter-details/19ba965651486013
136,Megan Anderson,,72.0,72.0,145.0,Orthodox,1990-02-11,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
137,Liam Anderson,,75.0,75.0,185.0,Orthodox,1995-01-13,3.0,0.52,6.53,0.31,1.0,0.2,0.5,0.0,http://ufcstats.com/fighter-details/b03a0c78ca45facf
138,Tatsuya Ando,Kirinji,64.0,68.0,145.0,Southpaw,1990-04-26,0.93,0.19,4.93,0.5,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/17615148dd4be6f6
139,Alex Andrade,El Toro,71.0,,200.0,Orthodox,1974-05-14,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8,http://ufcstats.com/fighter-details/1562b12763cc8d67
140,Jessica Andrade,Bate Estaca,61.0,62.0,125.0,Orthodox,1991-09-25,6.44,0.5,5.51,0.54,2.23,0.54,0.72,0.3,http://ufcstats.com/fighter-details/6a1901c62ab3870f
141,Viscardi Andrade,,71.0,75.0,170.0,Orthodox,1984-03-08,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,http://ufcstats.com/fighter-details/d221ee27afc7a60e
142,Jermaine Andre,,67.0,,200.0,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9bad58fa651d6196
143,Juan Andres Luna,,67.0,72.0,125.0,Orthodox,1995-08-20,3.27,0.31,3.0,0.65,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/1fd9f744105024a8
